task,sample,core,gff,time,memory
samviewsort,7686160172,2,2000,173.4546,2283.7248
samviewsort,7686160172,4,2000,140.7222,4156.006399999999
samviewsort,7686160172,8,2000,153.9928,8022.4256
samviewsort,7686160172,16,2000,126.2692,15287.5008
samviewsort,7686160172,32,2000,121.7094,28568.985600000004
bamtoh5,7686160172,1,4000,681.7764,3645.8496
bamtoh5,7686160172,2,4000,451.3664,6778.060800000001
bamtoh5,7686160172,4,4000,269.2546,9025.3312
bamtoh5,7686160172,8,4000,198.65879999999999,14358.323200000003
bamtoh5,7686160172,16,4000,163.0402,23933.952
bamtoh5,7686160172,32,4000,140.9808,42666.5984
hisat2orf,7686160172,1,4000,1567.2105999999999,351.90860000000004
hisat2orf,7686160172,2,4000,930.8790000000001,460.42600000000004
hisat2orf,7686160172,4,4000,783.9124,596.434
hisat2orf,7686160172,8,4000,779.2280000000001,868.449
hisat2orf,7686160172,16,4000,821.2774000000002,1412.096
hisat2orf,7686160172,32,4000,927.7127999999999,2500.608
samviewsort,7686160172,1,4000,474.65959999999995,1112.2688
samviewsort,7686160172,2,4000,341.2374,2283.3152
samviewsort,7686160172,4,4000,266.21819999999997,4247.1424
samviewsort,7686160172,8,4000,245.6228,8053.145600000001
samviewsort,7686160172,16,4000,234.2256,15451.750399999999
samviewsort,7686160172,32,4000,220.2174,30182.1952
bamtoh5,7686160172,1,6000,1051.9276,4546.5599999999995
bamtoh5,7686160172,2,6000,629.5754,8465.2032
bamtoh5,7686160172,4,6000,396.2374,10357.759999999998
bamtoh5,7686160172,8,6000,289.51480000000004,16538.419199999997
bamtoh5,7686160172,16,6000,222.1098,25927.8848
bamtoh5,7686160172,32,6000,191.63,45674.0864
hisat2orf,7686160172,1,6000,1669.2882000000002,378.3816
hisat2orf,7686160172,2,6000,998.6528000000001,486.898
hisat2orf,7686160172,4,6000,769.1204,622.906
hisat2orf,7686160172,8,6000,809.119,894.9220000000001
hisat2orf,7686160172,16,6000,924.9152,1438.72
hisat2orf,7686160172,32,6000,954.9734000000001,2527.232
samviewsort,7686160172,1,6000,663.6554000000001,1135.0016
samviewsort,7686160172,2,6000,473.591,2213.888
samviewsort,7686160172,4,6000,396.78100000000006,4258.2016
samviewsort,7686160172,8,6000,358.6762,8240.9472
samviewsort,7686160172,16,6000,326.3504,15491.072
samviewsort,7686160172,32,6000,317.36080000000004,31153.356799999998
bamtoh5,11487672747,1,1000,236.45659999999998,2855.7312
bamtoh5,11487672747,2,1000,136.6596,5690.777599999999
bamtoh5,11487672747,4,1000,116.35799999999999,7651.532799999999
bamtoh5,11487672747,8,1000,90.71379999999999,11780.3008
bamtoh5,11487672747,16,1000,71.49879999999999,20146.3808
bamtoh5,11487672747,32,1000,66.8018,35999.9488
hisat2orf,11487672747,1,1000,1979.0978,353.359
hisat2orf,11487672747,2,1000,1145.5880000000002,421.363
hisat2orf,11487672747,4,1000,1373.872,557.371
hisat2orf,11487672747,8,1000,1331.3398,829.387
hisat2orf,11487672747,16,1000,1292.8042,1373.184
hisat2orf,11487672747,32,1000,1367.0683999999999,2461.696
samviewsort,11487672747,1,1000,203.918,1078.272
samviewsort,11487672747,2,1000,150.1368,2251.5712
samviewsort,11487672747,4,1000,111.32000000000001,4129.9968
samviewsort,11487672747,8,1000,98.0796,8064.2047999999995
samviewsort,11487672747,16,1000,97.1294,14455.3984
samviewsort,11487672747,32,1000,94.0042,27774.5664
bamtoh5,11487672747,1,2000,453.17740000000003,3196.9280000000003
bamtoh5,11487672747,2,2000,290.0014,5833.9328
bamtoh5,11487672747,4,2000,178.35700000000003,9155.584
bamtoh5,11487672747,8,2000,126.69860000000001,14269.6448
bamtoh5,11487672747,16,2000,116.61479999999999,23629.2096
bamtoh5,11487672747,32,2000,97.07920000000001,40890.7776
hisat2orf,11487672747,1,2000,2152.6096000000002,372.1636
hisat2orf,11487672747,2,2000,1581.2993999999999,434.352
hisat2orf,11487672747,4,2000,1416.998,570.359
hisat2orf,11487672747,8,2000,1306.511,842.375
hisat2orf,11487672747,16,2000,1368.8147999999999,1386.496
hisat2orf,11487672747,32,2000,1377.9864,2473.984
samviewsort,11487672747,1,2000,414.68019999999996,1096.4992
samviewsort,11487672747,2,2000,304.1848,2245.4272000000005
samviewsort,11487672747,4,2000,230.54479999999998,4178.3296
samviewsort,11487672747,8,2000,205.63000000000002,7895.4496
samviewsort,11487672747,16,2000,215.33360000000002,15248.588800000001
samviewsort,11487672747,32,2000,190.63499999999996,28568.7808
bamtoh5,11487672747,1,4000,907.016,4207.8207999999995
bamtoh5,11487672747,2,4000,516.267,7170.867200000001
bamtoh5,11487672747,4,4000,318.2788,9945.088
bamtoh5,11487672747,8,4000,246.21419999999998,15748.3008
bamtoh5,11487672747,16,4000,186.925,25673.523199999996
bamtoh5,11487672747,32,4000,163.1564,44237.6192
hisat2orf,11487672747,1,4000,2450.6424,392.406
hisat2orf,11487672747,2,4000,1735.9586,460.41
hisat2orf,11487672747,4,4000,1300.1996,596.418
hisat2orf,11487672747,8,4000,1319.2351999999998,868.443
hisat2orf,11487672747,16,4000,1380.5621999999998,1412.096
hisat2orf,11487672747,32,4000,1342.2626000000002,2500.608
samviewsort,11487672747,1,4000,787.9722,1132.7487999999998
samviewsort,11487672747,2,4000,565.1088,2266.5216
samviewsort,11487672747,4,4000,432.546,4282.368
samviewsort,11487672747,8,4000,402.463,8028.5696
samviewsort,11487672747,16,4000,367.389,15687.4752
samviewsort,11487672747,32,4000,354.99799999999993,30169.497600000002
bamtoh5,11487672747,1,6000,1303.6434000000002,5130.6496
bamtoh5,11487672747,2,6000,778.9069999999999,9568.6656
bamtoh5,11487672747,4,6000,472.146,11677.0816
bamtoh5,11487672747,8,6000,371.9134,17208.524800000003
bamtoh5,11487672747,16,6000,272.2856,27855.871999999996
bamtoh5,11487672747,32,6000,215.29340000000002,47465.471999999994
hisat2orf,11487672747,1,6000,2618.1002,418.879
hisat2orf,11487672747,2,6000,1797.3850000000002,486.889
hisat2orf,11487672747,4,6000,1330.7584,622.891
hisat2orf,11487672747,8,6000,1601.2729999999997,894.9220000000001
hisat2orf,11487672747,16,6000,1471.0614,1438.72
hisat2orf,11487672747,32,6000,1404.056,2527.232
samviewsort,11487672747,1,6000,1072.1722000000002,1151.7952
samviewsort,11487672747,2,6000,773.9942,2320.7936
samviewsort,11487672747,4,6000,630.3048,4210.688
samviewsort,11487672747,8,6000,626.884,8027.3408
samviewsort,11487672747,16,6000,558.4159999999999,15766.528
samviewsort,11487672747,32,6000,577.379,30501.0688
bamtoh5,14702537044,1,1000,282.3066,3418.112
bamtoh5,14702537044,2,1000,174.1266,6062.284799999999
bamtoh5,14702537044,4,1000,127.42699999999999,7989.452800000001
bamtoh5,14702537044,8,1000,107.4798,12183.552
bamtoh5,14702537044,16,1000,87.44839999999999,20623.9744
bamtoh5,14702537044,32,1000,75.8562,35947.7248
hisat2orf,14702537044,1,1000,2772.8608,353.375
hisat2orf,14702537044,2,1000,1923.5808000000002,423.6384
hisat2orf,14702537044,4,1000,1765.6154,557.387
hisat2orf,14702537044,8,1000,1593.1187999999997,829.402
hisat2orf,14702537044,16,1000,1770.4898,1373.184
hisat2orf,14702537044,32,1000,1829.9046000000003,2461.696
samviewsort,14702537044,1,1000,272.98380000000003,1078.272
samviewsort,14702537044,2,1000,200.55080000000004,2281.8815999999997
samviewsort,14702537044,4,1000,159.255,4104.192
samviewsort,14702537044,8,1000,149.5194,8008.089600000001
samviewsort,14702537044,16,1000,133.03379999999999,15248.793599999999
samviewsort,14702537044,32,1000,122.23740000000001,28580.4544
bamtoh5,14702537044,1,2000,518.5286,3202.6623999999997
bamtoh5,14702537044,2,2000,312.6654,6620.9792
bamtoh5,14702537044,4,2000,208.3786,10138.4192
bamtoh5,14702537044,8,2000,148.08560000000003,15713.075200000001
bamtoh5,14702537044,16,2000,117.6644,24820.1216
bamtoh5,14702537044,32,2000,101.93160000000002,41320.6528
hisat2orf,14702537044,1,2000,2851.8636,366.36
hisat2orf,14702537044,2,2000,2253.5016,434.36400000000003
hisat2orf,14702537044,4,2000,2010.551,570.3718
hisat2orf,14702537044,8,2000,1809.361,842.3814
hisat2orf,14702537044,16,2000,1869.8694,1386.496
hisat2orf,14702537044,32,2000,1802.9434,2473.984
samviewsort,14702537044,1,2000,552.2746,1150.3615999999997
samviewsort,14702537044,2,2000,403.9748,2282.0864
samviewsort,14702537044,4,2000,334.333,4257.5872
samviewsort,14702537044,8,2000,304.6924,7924.940799999999
samviewsort,14702537044,16,2000,268.64520000000005,15662.079999999998
samviewsort,14702537044,32,2000,250.3732,30181.785600000003
bamtoh5,14702537044,1,4000,1115.6848,4497.408
bamtoh5,14702537044,2,4000,666.5224000000001,8491.8272
bamtoh5,14702537044,4,4000,408.4922,11362.304
bamtoh5,14702537044,8,4000,267.922,17150.361599999997
bamtoh5,14702537044,16,4000,211.15720000000002,26992.025600000004
bamtoh5,14702537044,32,4000,173.503,45563.6992
hisat2orf,14702537044,1,4000,3704.3370000000004,392.4172
hisat2orf,14702537044,2,4000,2502.9882,460.42119999999994
hisat2orf,14702537044,4,4000,1938.8651999999997,596.4244
hisat2orf,14702537044,8,4000,1813.681,868.4381999999999
hisat2orf,14702537044,16,4000,2281.0,1412.096
hisat2orf,14702537044,32,4000,1812.9145999999996,2500.608
samviewsort,14702537044,1,4000,1118.768,1133.1584
samviewsort,14702537044,2,4000,814.5179999999999,2358.0672
samviewsort,14702537044,4,4000,641.2801999999999,4296.294400000001
samviewsort,14702537044,8,4000,574.7212,8201.8304
samviewsort,14702537044,16,4000,524.0878,15677.6448
samviewsort,14702537044,32,4000,486.19900000000007,30427.136
bamtoh5,14702537044,1,6000,1444.5358,5300.4288
bamtoh5,14702537044,2,6000,936.6554,9635.430400000001
bamtoh5,14702537044,4,6000,556.4838,12932.505599999999
bamtoh5,14702537044,8,6000,378.5388,18745.344
bamtoh5,14702537044,16,6000,298.396,30006.8864
bamtoh5,14702537044,32,6000,225.0368,49164.6976
hisat2orf,14702537044,1,6000,3533.0534,418.88860000000005
hisat2orf,14702537044,2,6000,2733.3956000000003,486.89520000000005
hisat2orf,14702537044,4,6000,1713.7977999999998,622.898
hisat2orf,14702537044,8,6000,1763.1806000000001,894.9091999999998
hisat2orf,14702537044,16,6000,2041.7594000000001,1438.72
hisat2orf,14702537044,32,6000,2131.9507999999996,2527.232
samviewsort,14702537044,1,6000,1422.6276,1116.5695999999998
samviewsort,14702537044,2,6000,1160.275,2394.3167999999996
samviewsort,14702537044,4,6000,948.1780000000001,4363.0592
samviewsort,14702537044,8,6000,815.8076,8545.0752
samviewsort,14702537044,16,6000,781.6436,15619.072
samviewsort,14702537044,32,6000,684.6914,30769.152000000002
bamtoh5,248306899,1,6634,796.3265,3348.7872
bamtoh5,248306899,2,6634,492.74930000000006,7786.905599999998
bamtoh5,248306899,4,6634,345.0838,11098.009600000001
bamtoh5,248306899,8,6634,258.9933,14735.667200000002
